Maturity,Strike,Call,Put
0.6825,535.0,27.4,42.175
0.6825,540.0,25.275,45.5
0.6825,545.0,23.3,48.15
0.6825,550.0,21.4,51.825
0.6825,555.0,19.675,54.9
0.6825,560.0,18.0,58.425
0.6825,565.0,16.5,62.025
0.6825,570.0,15.075,65.775
0.6825,575.0,13.75,69.65
0.6825,580.0,12.55,73.675
0.6825,585.0,11.4,
0.6825,590.0,10.15,81.875
0.6825,595.0,9.425,86.15
0.6825,600.0,8.575,90.5
0.6825,610.0,7.05,
0.6825,620.0,6.0,109.075
0.6825,630.0,4.775,118.925
0.6825,640.0,3.975,128.4
0.6825,650.0,3.275,139.125
0.6825,660.0,2.65,148.725
0.6825,680.0,1.945,0.0
0.6825,700.0,1.39,
0.6825,720.0,1.02,
0.6825,740.0,0.74,
0.7937,280.0,238.05,0.505
0.7937,300.0,218.725,0.81
0.7937,330.0,189.975,1.5
0.7937,350.0,171.1,2.18
0.7937,360.0,161.3,2.615
0.7937,380.0,142.975,3.7
0.7937,390.0,133.875,4.425
0.7937,400.0,124.9,5.275
0.7937,410.0,116.175,6.225
0.7937,420.0,107.775,7.4
0.7937,430.0,99.025,9.0
0.7937,435.0,95.025,9.8
0.7937,440.0,91.0,10.625
0.7937,445.0,87.125,11.8
0.7937,450.0,83.025,12.275
0.7937,455.0,79.325,13.325
0.7937,460.0,75.525,14.475
0.7937,465.0,71.675,15.675
0.7937,470.0,68.15,16.975
0.7937,475.0,64.675,18.35
0.7937,480.0,61.175,19.85
0.7937,485.0,57.825,21.45
