Maturity,Strike,Call,Put
1.7659,20.0,191.725,0.12
1.7659,25.0,231.05,0.175
1.7659,30.0,226.3,0.155
1.7659,35.0,164.675,0.115
1.7659,40.0,162.525,0.075
1.7659,45.0,157.85,0.09
1.7659,50.0,207.15,0.08
1.7659,60.0,197.8,0.125
1.7659,70.0,188.2,0.24
1.7659,80.0,178.75,0.315
1.7659,85.0,174.05,0.38
1.7659,90.0,116.35,0.43
1.7659,95.0,164.8,0.495
1.7659,100.0,159.85,0.57
1.7659,105.0,155.225,0.675
1.7659,110.0,151.025,0.785
1.7659,115.0,146.125,0.89
1.7659,120.0,141.4,1.05
1.7659,125.0,136.675,1.205
1.7659,130.0,132.175,1.395
1.7659,135.0,127.75,1.6
1.7659,140.0,123.55,1.82
1.7659,145.0,119.05,2.1
1.7659,150.0,114.55,2.385
1.7659,155.0,109.8,2.71
1.7659,160.0,105.375,3.1
1.7659,165.0,101.05,3.525
1.7659,170.0,96.725,4.0
1.7659,175.0,92.55,4.525
1.7659,180.0,88.125,5.1
1.7659,185.0,84.05,5.775
1.7659,190.0,80.125,6.475
1.7659,195.0,76.025,7.275
1.7659,200.0,72.2,8.175
